amount,commission,investment_id|account_id|liability_id,isin,netCash,operationDate,originalCurrency,referenceCurrency,retention,symb,type,unitPrice,valueDate,_id
"757,61",-22,f87703635ed0e2bcbfd81056d42e3d96482f1c0b33bacea5d36d848d7abe788c,LU0248183658,"16675,18",2022-10-24,EUR,EUR,,+,Buy,"21,9812",2022-10-27,e74bf101ca7a3b074c04350fdc555f0eb4972db5ca457888f8057e06ec84ac8c
1777,"-109,27",873a4a41955faf7bfc0903f04172423bea4a910f63ce8e62c3479dc47022078a,IE00B53QG562,"218644,73",2022-10-21,EUR,EUR,,+,Buy,"122,98",2022-10-25,c50795495274f44668b1c05005bb0dc299b3765acb74b2ef90cbbf39a708afc3
1777,"-138,34",873a4a41955faf7bfc0903f04172423bea4a910f63ce8e62c3479dc47022078a,IE00B53QG562,"276540,56",2023-07-24,EUR,EUR,,-,Sell,"155,7",2023-07-26,0d7c253872a551f87d562af97859304c27bc31399ad74ac2d25c54ca2c991649
"453,057",-22,23895dcc63bf40b323b1332f1294842888848df60bd17b45a76f0fcd45fe5528,LU0278087860,"66290,65",2022-10-24,EUR,EUR,,+,Buy,"146,27",2022-10-27,113f0b53c52a74f72c84973766b1352680f89bdbac6ddd2da30e3b9a84d2927a
"1329,393","-1,13",23895dcc63bf40b323b1332f1294842888848df60bd17b45a76f0fcd45fe5528,LU0278087860,203170,2023-04-19,EUR,EUR,,-,Sell,"152,83",2023-04-24,158d6a7ac0eb01a25330eb9b0af4e61d53d667f0cd8eebe9d5731b410ff42f90
"1020,607",0,465df1bcb8652d03f2b8b4f827ed976a99c9e1ba1e5c31a7ccdf9559236e4eeb,IE00BWSW4Z44,"137526,79",2022-10-21,EUR,EUR,,+,Buy,"134,75",2022-10-26,110a67c68f580d03d30be2f9e1100a80ed9de5641fd491a34dc2d266cc7cdf0d
1250,0,465df1bcb8652d03f2b8b4f827ed976a99c9e1ba1e5c31a7ccdf9559236e4eeb,IE00BWSW4Z44,191125,2023-08-25,EUR,EUR,,-,Sell,"152,9",2023-08-31,f455ed510f62fd6c4e0fdc0c2e19f200d47cdf4d8f10f17f4f1079c4eb1d374d
"341,873","-25,46",0b954ab8920e697bc1a0c40927f95ebdbb49fbe911f0224e6ab809f6ec8d8cd1,LU0912749735,"74827,27",2022-10-24,USD,EUR,,+,Buy,"218,8",2022-10-27,6ff69e1ff4498ef36bf6d9022b801b0cbb2945057bf40048ff7ab31516e4007c
461,"-3,54",0b954ab8920e697bc1a0c40927f95ebdbb49fbe911f0224e6ab809f6ec8d8cd1,LU0912749735,"108626,5",2022-12-07,USD,EUR,,-,Sell,"235,64",2022-12-12,ae216f5a1f55b9f7318978e11ab920e713080d5cea69fbe9455ff869a97a2823
"138,979",-26,da4998596993aeb6ad976b5272603ad0df61f780f52611f15571e14edd5992c9,LU1001014080,"23542,64",2022-10-24,USD,EUR,,+,Buy,"169,21",2022-10-26,5e8a3db0ef73ea820e7074c4a324a96d97e2562a5cc3561e2630ba5c186e8937
